old_url,old_content,new_url
https://api.gouv.fr/les-api/api-fantoir,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-fantoir.md,https://www.data.gouv.fr/dataservices/672cf6916a8456f417812b0e
https://api.gouv.fr/les-api/api-fonds-vert,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-fonds-vert.md,https://www.data.gouv.fr/dataservices/672cf65c0a2a1df94c9cc37b
https://api.gouv.fr/les-api/api-formation-acces-emploi,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-formation-acces-emploi.md,https://www.data.gouv.fr/dataservices/672cf69d65f131fae343442c
https://api.gouv.fr/les-api/api-france-chaleur-urbaine,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-france-chaleur-urbaine.md,https://www.data.gouv.fr/dataservices/672cf66155292111be09eff5
https://api.gouv.fr/les-api/api-gels-avoirs,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-gels-avoirs.md,https://www.data.gouv.fr/dataservices/672cf99285fb62a8775549df
https://api.gouv.fr/les-api/api-geo,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-geo.md,https://www.data.gouv.fr/dataservices/672cf6946a8456f417812b0f
https://api.gouv.fr/les-api/api-georisques,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-georisques.md,https://www.data.gouv.fr/dataservices/672cf9b96136ac3468829100
https://api.gouv.fr/les-api/api-grdf-adict,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-grdf-adict.md,https://www.data.gouv.fr/dataservices/672cfc5cc1fa613534d1d73a
https://api.gouv.fr/les-api/api-idref,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-idref.md,https://www.data.gouv.fr/dataservices/672cf67b6a8456f417812b0d
https://api.gouv.fr/les-api/api-immersion-facilitee,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-immersion-facilitee.md,https://www.data.gouv.fr/dataservices/672cf67ff8b5d52b7626339e
https://api.gouv.fr/les-api/api-impact-co2,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-impact-co2.md,https://www.data.gouv.fr/dataservices/672cf6a6b93233d94703aada
https://api.gouv.fr/les-api/api-imprimfip,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-imprimfip.md,https://www.data.gouv.fr/dataservices/672dcf037d26da92ddef47f7
https://api.gouv.fr/les-api/api-indemnisation-pole-emploi,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-indemnisation-pole-emploi.md,https://www.data.gouv.fr/dataservices/672cf647fcc8065be6e66f51
https://api.gouv.fr/les-api/api-indemnites-journalieres-cnam,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-indemnites-journalieres-cnam.md,https://www.data.gouv.fr/dataservices/672cf6776d09c75cace6a624
https://api.gouv.fr/les-api/api-ines,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-ines.md,https://www.data.gouv.fr/dataservices/672cf6a86d09c75cace6a629
https://api.gouv.fr/les-api/api-info-financiere,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-info-financiere.md,https://www.data.gouv.fr/dataservices/672cf656403bf419125795dd
https://api.gouv.fr/les-api/api-informations-emploi-territoire,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-informations-emploi-territoire.md,https://www.data.gouv.fr/dataservices/672cf6816452c7d618494339
https://api.gouv.fr/les-api/api-interroger-donnees-these,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-interroger-donnees-these.md,https://www.data.gouv.fr/dataservices/672cf6a45e554cca4a91602c
https://api.gouv.fr/les-api/api-judilibre,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-judilibre.md,https://www.data.gouv.fr/dataservices/672cf642d2525afd25d1e4a0
https://api.gouv.fr/les-api/api-la-bonne-alternance,https://github.com/betagouv/api.gouv.fr/blob/master/_data/api/api-la-bonne-alternance.md,https://www.data.gouv.fr/dataservices/672cf64ff8b5d52b76263394
